,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,panel_type_IPS,DisplayType,IsTouchscreen,Resolution_Width,Resolution_Height,CPU_brand,CPU_series_model_gen_type,CPU_speed,Memory_Capacity,Type,Total_Memory_Capacity_GB,GPU_Brand,GPU_series,GPU_model_no
586,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.78kg,79813.44,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,Geforce GTX,1050
587,Lenovo,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,12GB,256GB SSD,Intel HD Graphics 520,Windows 10,8.4kg,89137.44,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 6600U,2.6GHz,256GB,SSD,256.0,Intel,Hd Graphics,520
588,Lenovo,Notebook,15.6,Touchscreen 1366x768,Intel Core i7 8550U 1.8GHz,12GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.2kg,32447.52,0.0,,1.0,1366.0,768.0,Intel,Core i7 8550U,1.8GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
589,Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.73kg,94305.6,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7300HQ,2.5GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX,1060
590,Asus,2 in 1 Convertible,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.2kg,39373.92,0.0,,1.0,1366.0,768.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,520
591,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,512GB SSD,AMD Radeon 530,Windows 10,2.2kg,50562.72,0.0,Full HD,0.0,1920.0,1080.0,Amd,A12-Series 9720P,3.6GHz,512GB,SSD,512.0,Amd,Radeon,530
592,Dell,2 in 1 Convertible,31.6,Touchscreen 1366x768,Intel Core M 7Y30 1.0GHz,4GB,128GB SSD,Intel HD Graphics 615,Windows 10,1.39kg,32127.84,0.0,,1.0,1366.0,768.0,Intel,Core M 7Y30,1.0GHz,128GB,SSD,128.0,Intel,Hd Graphics,615
593,Samsung,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,90522.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX,1050
594,Lenovo,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,2.8kg,28185.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 6006U,2GHz,500GB,HDD,500.0,Intel,Hd Graphics,520
595,Lenovo,Notebook,15.6,1366x768,Intel Core i3 6100U 2.3GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.29kg,24455.52,0.0,,0.0,1366.0,768.0,Intel,Core i3 6100U,2.3GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,520
596,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.37kg,107892.0,1.0,Full HD,1.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,512GB,SSD,512.0,Intel,Hd Graphics,620
597,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Intel HD Graphics 630,Windows 10,1.7kg,78534.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7300HQ,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,630
598,Dell,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.34kg,88977.6,0.0,Full HD,1.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
599,Dell,Workstation,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M620,Windows 10,2.06kg,93932.64,0.0,Full HD,1.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB,SSD,256.0,Nvidia,Quadro,M620
600,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.84kg,64948.32,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
601,HP,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,2.1kg,35616.6144,0.0,,0.0,1366.0,768.0,Intel,Core i3 7100U,2.4GHz,500GB,HDD,500.0,Intel,Hd Graphics,620
602,Acer,Notebook,14,Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.6kg,17529.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Celeron Quad Core N3450,1.1GHz,32GB,Flash Storage,32.0,Intel,Hd Graphics,500
603,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,Windows 10,4.14kg,117162.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 6820HK,2.7GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX,970M
604,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon R5 M420,Linux,2.18kg,24775.2,0.0,,0.0,1366.0,768.0,Intel,Core i3 6006U,2GHz,1024GB,HDD,1024.0,Amd,Radeon R5,M420
605,MSI,Gaming,15.6,4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1060,Windows 10,1.8kg,122490.72,0.0,4K Ultra HD,0.0,3840.0,2160.0,Intel,Core i7 7700HQ,2.8GHz,256GB + 2048GB,SSD+HDD,2304.0,Nvidia,Geforce GTX,1060
606,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,2.2kg,74538.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 6500U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,520
607,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.4kg,30049.92,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
608,Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Intel HD Graphics 630,Windows 10,2kg,69210.72,1.0,Full HD,1.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB,SSD,256.0,Intel,Hd Graphics,630
609,Acer,Notebook,14,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,Intel HD Graphics 405,Windows 10,1.6kg,18594.72,0.0,,0.0,1366.0,768.0,Intel,Pentium Quad Core N3710,1.6GHz,128GB,Flash Storage,128.0,Intel,Hd Graphics,405
610,Lenovo,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Xeon E3-1535M v6 3.1GHz,32GB,1TB SSD,Nvidia Quadro M2200M,Windows 10,2.5kg,261018.72,1.0,4K Ultra HD,0.0,3840.0,2160.0,Intel,Xeon E3-1535M v6,3.1GHz,1024GB,SSD,1024.0,Nvidia,Quadro,M2200M
611,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,1TB HDD,Nvidia GeForce GTX 960<U+039C>,Windows 10,2.59kg,46833.6528,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 6700HQ,2.6GHz,1024GB,HDD,1024.0,Nvidia,Geforce GTX,960<U+039C>
612,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel HD Graphics 520,Linux,2.18kg,23650.992,0.0,,0.0,1366.0,768.0,Intel,Core i3 6006U,2.0GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,520
613,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel HD Graphics 520,Linux,2.25kg,19127.52,0.0,,0.0,1366.0,768.0,Intel,Core i3 6006U,2.0GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,520
614,Dell,Notebook,15.6,1366x768,Intel Core i5 7300U 2.6GHz,4GB,500GB HDD,Intel HD Graphics 620,Linux,1.93kg,46300.32,0.0,,0.0,1366.0,768.0,Intel,Core i5 7300U,2.6GHz,500GB,HDD,500.0,Intel,Hd Graphics,620
615,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3kg,62231.04,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX,1050
617,HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.84kg,74005.92,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,512GB,SSD,512.0,Intel,Hd Graphics,620
618,MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.94kg,120831.5808,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,Geforce GTX,1070
619,Acer,2 in 1 Convertible,11.6,IPS Panel Touchscreen 1366x768,Intel Celeron Quad Core N3160 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.25kg,20193.12,1.0,,1.0,1366.0,768.0,Intel,Celeron Quad Core N3160,1.6GHz,32GB,Flash Storage,32.0,Intel,Hd Graphics,400
620,HP,Notebook,14,1366x768,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.31kg,59886.72,0.0,,0.0,1366.0,768.0,Intel,Core i5 7300U,2.6GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
621,Lenovo,Notebook,14,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 7,1.65kg,78055.2,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 6200U,2.3GHz,256GB,SSD,256.0,Intel,Hd Graphics,520
622,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,AMD Radeon 530,Windows 10,2.2kg,41345.28,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,1024GB,HDD,1024.0,Amd,Radeon,530
623,Fujitsu,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.2kg,42570.72,0.0,,0.0,1366.0,768.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
624,HP,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 7,1.88kg,49656.96,0.0,,0.0,1366.0,768.0,Intel,Core i5 6200U,2.3GHz,500GB,HDD,500.0,Intel,Hd Graphics,520
626,Mediacom,Notebook,14,Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Intel HD Graphics,Windows 10,1.4kg,12733.92,0.0,Full HD,0.0,1920.0,1080.0,Intel,Atom x5-Z8350,1.44GHz,32GB,Flash Storage,32.0,Intel,Hd Graphics,
627,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,No OS,2.2kg,24935.04,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,128GB,SSD,128.0,Intel,Hd Graphics,620
628,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.5kg,34046.4528,0.0,Full HD,1.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
630,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,11.1kg,101232.0,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,512GB,SSD,512.0,Intel,Hd Graphics,620
631,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg,78801.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,Geforce GTX 1050 Ti,
632,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.8kg,44169.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
633,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Nvidia GeForce 920MX ,Windows 10,2.2kg,30849.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 6006U,2GHz,1024GB,HDD,1024.0,Nvidia,Geforce,920MX
634,Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,8GB,1TB HDD,Intel HD Graphics 500,Windows 10,2kg,21258.72,0.0,,0.0,1366.0,768.0,Intel,Celeron Dual Core N3350,1.1GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,500
635,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,1.99kg,48304.7136,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7300HQ,2.5GHz,1024GB,HDD,1024.0,Nvidia,Geforce GTX,1050
636,Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.23kg,99580.32,0.0,Quad HD+,1.0,3200.0,1800.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
637,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows 10,1.42kg,13266.72,0.0,,0.0,1366.0,768.0,Intel,Celeron Dual Core N3060,1.6GHz,32GB,Flash Storage,32.0,Intel,Hd Graphics,400
638,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.37kg,93635.3376,1.0,Full HD,1.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
639,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,1TB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,127818.72,0.0,4K Ultra HD,1.0,3840.0,2160.0,Intel,Core i7 7700HQ,2.8GHz,1024GB,SSD,1024.0,Nvidia,Geforce GTX,1050
640,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050M,Windows 10,2.5kg,59087.52,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX,1050M
641,HP,Notebook,17,1600x900,AMD A9-Series 9420 3GHz,8GB,1TB HDD,AMD Radeon R5,Windows 10,2.6kg,27753.552,0.0,,0.0,1600.0,900.0,Amd,A9-Series 9420,3GHz,1024GB,HDD,1024.0,Amd,Radeon,R5
642,Lenovo,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.14kg,130536.0,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,512GB,SSD,512.0,Intel,Hd Graphics,620
643,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,No OS,2.5kg,62284.32,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,1024GB,HDD,1024.0,Nvidia,Geforce GTX 1050 Ti,
644,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.4kg,23976.0,0.0,,0.0,1366.0,768.0,Intel,Core i3 6006U,2GHz,500GB,HDD,500.0,Intel,Hd Graphics,520
645,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics,Windows 10,1.43kg,14598.72,0.0,,0.0,1366.0,768.0,Intel,Celeron Dual Core N3060,1.6GHz,32GB,Flash Storage,32.0,Intel,Hd Graphics,
646,Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel Graphics 620,Windows 10,1.8kg,48964.32,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Graphics,620
647,Razer,Gaming,14,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,1.95kg,138474.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB,SSD,256.0,Nvidia,Geforce GTX,1060
648,Toshiba,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.2kg,64628.64,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 6200U,2.3GHz,256GB,SSD,256.0,Intel,Hd Graphics,520
649,Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.36kg,84395.52,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
650,Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,32GB,512GB SSD,Nvidia GeForce GTX 1080,Windows 10,3.8kg,149130.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 6820HK,2.7GHz,512GB,SSD,512.0,Nvidia,Geforce GTX,1080
651,Acer,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,2.4kg,37775.52,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7300HQ,2.5GHz,1024GB,HDD,1024.0,Nvidia,Geforce GTX,1050
652,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,77250.672,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
653,MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2kg,63499.104,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX 1050 Ti,
654,HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,1.86kg,19441.872,0.0,,0.0,1366.0,768.0,Intel,Core i3 6006U,2GHz,500GB,HDD,500.0,Intel,Hd Graphics,520
655,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,500GB HDD,Intel HD Graphics 620,Windows 10,2.0kg,56689.92,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,500GB,HDD,500.0,Intel,Hd Graphics,620
656,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,6.2kg,48964.32,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB,SSD,256.0,Amd,Radeon,530
657,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.2kg,60472.8,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB + 2048GB,SSD+HDD,2304.0,Amd,Radeon,530
658,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960,Windows 10,3.31kg,63722.88,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 6700HQ,2.6GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX,960
659,Dell,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg,167691.8736,1.0,4K Ultra HD,0.0,3840.0,2160.0,Intel,Core i7 7700HQ,2.8GHz,512GB + 1024GB,SSD+HDD,1536.0,Nvidia,Geforce GTX,1070
660,Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.56kg,65481.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 6300U,2.4GHz,256GB,SSD,256.0,Intel,Hd Graphics,520
661,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,500GB HDD,Intel HD Graphics 500,Windows 10,2.2kg,22324.32,0.0,,0.0,1366.0,768.0,Intel,Celeron Dual Core N3350,1.1GHz,500GB,HDD,500.0,Intel,Hd Graphics,500
662,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.2kg,28504.8,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 6200U,2.3GHz,500GB,HDD,500.0,Intel,Hd Graphics,520
663,HP,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,6GB,1TB HDD,AMD Radeon R5 M430,Windows 10,2.04kg,28717.92,0.0,,0.0,1920.0,1080.0,Intel,Core i3 6006U,2GHz,1024GB,HDD,1024.0,Amd,Radeon R5,M430
664,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.7kg,79215.1056,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX,1060
665,Toshiba,Notebook,15.6,1366x768,Intel Core i3 6100U 2.1GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,2.1kg,26533.44,0.0,,0.0,1366.0,768.0,Intel,Core i3 6100U,2.1GHz,128GB,SSD,128.0,Intel,Hd Graphics,520
667,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon 530,Windows 10,2.1kg,39693.6,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,1024GB,HDD,1024.0,Amd,Radeon,530
668,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.0kg,67026.24,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
669,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Linux,2.1kg,21951.36,0.0,,0.0,1366.0,768.0,Intel,Core i3 6006U,2GHz,128GB,SSD,128.0,Intel,Hd Graphics,520
670,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.252kg,99519.048,0.0,,1.0,2256.0,1504.0,Intel,Core i7 7600U,2.8GHz,256GB,SSD,256.0,Intel,Iris Plus Graphics,640
671,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows 10,1.90kg,43580.376,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,128GB + 1024GB,SSD+HDD,1152.0,Amd,Radeon R5,M430
672,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.3kg,55091.52,1.0,Full HD,1.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
673,Lenovo,Notebook,35.6,1366x768,AMD E-Series E2-9000 2.2GHz,4GB,128GB SSD,AMD Radeon R2 Graphics,Windows 10,2.2kg,18594.72,0.0,,0.0,1366.0,768.0,Amd,E-Series E2-9000,2.2GHz,128GB,SSD,128.0,Amd,Radeon R2 Graphics,
674,HP,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Nvidia GeForce 940MX,Windows 10,1.63kg,37242.72,1.0,Full HD,1.0,1920.0,1080.0,Intel,Core i3 7100U,2.4GHz,128GB,SSD,128.0,Nvidia,Geforce,940MX
